Film,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,Genre_Action,Genre_Animation,Genre_Comedy,Genre_Drama,Genre_Fantasy,Genre_Romance,Genre_Unknown,Lead Studio_20th Century Fox,Lead Studio_CBS,Lead Studio_Disney,Lead Studio_Fox,Lead Studio_Independent,Lead Studio_Lionsgate,Lead Studio_New Line,Lead Studio_Paramount,Lead Studio_Sony,Lead Studio_Summit,Lead Studio_The Weinstein Company,Lead Studio_Universal,Lead Studio_Unknown,Lead Studio_Warner Bros.,Decade_2000s,Decade_2010s,isIndependent_Independent,isIndependent_Major Studio,Critic-Audience Gap Rating_Favored by audience,Critic-Audience Gap Rating_Favored by critics,ROI_Category_Low,ROI_Category_Medium,ROI_Category_High
It's Complicated,63.0,2.642352941,56.0,224.6,2009,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
I Love You Phillip Morris,57.0,1.34,71.0,20.1,2010,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False
High School Musical 3: Senior Year,76.0,22.91313646,65.0,252.04,2008,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
He's Just Not That Into You,60.0,7.1536,42.0,178.84,2009,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True
Good Luck Chuck,61.0,2.36768512,3.0,59.19,2007,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
Going the Distance,56.0,1.3140625,53.0,42.05,2010,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False
Gnomeo and Juliet,52.0,2.1308556875,56.0,193.97,2011,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False
Ghosts of Girlfriends Past,47.0,2.0444,27.0,102.22,2009,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False
Four Christmases,52.0,2.022925,26.0,161.83,2008,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False
Fireproof,51.0,66.934,40.0,33.47,2008,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
Enchanted,80.0,4.005737082,93.0,340.49,2007,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
Dear John,66.0,4.5988,29.0,114.97,2010,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
Beginners,80.0,4.471875,84.0,14.31,2011,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True
Across the Universe,84.0,0.652603178,54.0,29.37,2007,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
A Serious Man,64.0,2.598205128,89.0,30.68,2009,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False
A Dangerous Method,89.0,0.44864475,79.0,8.97,2011,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False
27 Dresses,71.0,5.3436218,40.0,160.31,2008,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
(500) Days of Summer,81.0,8.096,87.0,60.72,2009,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
